question,answer,label
Interpreter translates?,WholeProgram,1

Machine learning type?,Supervised,0
Machine learning type?,Encrypted,1

Clustering is?,Unsupervised,0
Clustering is?,ReinforcementOnly,1

Overfitting means?,Memorization,0
Overfitting means?,Generalization,1

Hash table uses?,Hashing,0
Hash table uses?,Sorting,1

Queue implementation uses?,LinkedList,0
Queue implementation uses?,HeapOnly,1

Binary tree children max?,2,0
Binary tree children max?,3,1

File extension for Python?,py,0
File extension for Python?,java,1

Keyword to define function in Python?,def,0
Keyword to define function in Python?,function,1

Loop keyword in Java?,for,0
Loop keyword in Java?,loop,1

Java entry method?,main,0
Java entry method?,start,1

C language header for input output?,stdio,0
C language header for input output?,iostream,1

Python list method to add element?,append,0
Python list method to add element?,insertAll,1

Keyword for inheritance in Java?,extends,0
Keyword for inheritance in Java?,inherits,1

JavaScript variable keyword modern?,let,0
JavaScript variable keyword modern?,varOnly,1

Boolean value in Python?,True,0
Boolean value in Python?,TRUE,1

Comment symbol in Python?,#,0
Comment symbol in Python?,//,1

Keyword for class in Java?,class,0
Keyword for class in Java?,object,1

SQL command to insert data?,INSERT,0
SQL command to insert data?,ADDROW,1

JavaScript output function?,console,0
JavaScript output function?,printJS,1

Python package manager?,pip,0
Python package manager?,npm,1

NodeJS package manager?,npm,0
NodeJS package manager?,pip,1

C++ standard namespace?,std,0
C++ standard namespace?,system,1

HTML heading tag?,h1,0
HTML heading tag?,head1,1

CSS property for color?,color,0
CSS property for color?,fontcolor,1

Python framework for web?,Django,0
Python framework for web?,Laravel,1

Java framework?,Spring,0
Java framework?,React,1

Frontend library?,React,0
Frontend library?,Flask,1

Backend JavaScript runtime?,NodeJS,0
Backend JavaScript runtime?,Angular,1

Python data type immutable?,tuple,0
Python data type immutable?,list,1

Error handling keyword Python?,try,0
Error handling keyword Python?,catchonly,1

Java exception keyword?,catch,0
Java exception keyword?,except,1

C memory allocation function?,malloc,0
C memory allocation function?,allocMem,1

Python dictionary braces?,curly,0
Python dictionary braces?,square,1

Java primitive type example?,int,0
Java primitive type example?,String,1

Python indentation required?,Yes,0
Python indentation required?,No,1

Compiled language example?,C,0
Compiled language example?,Python,1

Interpreted language example?,Python,0
Interpreted language example?,COnly,1

Version control system?,Git,0
Version control system?,Docker,1

Containerization tool?,Docker,0
Containerization tool?,GitHub,1

IDE example?,VSCode,0
IDE example?,Chrome,1

Python keyword for loop?,while,0
Python keyword for loop?,loopfor,1

Database query language?,SQL,0
Database query language?,HTML,1

React uses?,JSX,0
React uses?,JVM,1

Function return keyword?,return,0
Function return keyword?,giveback,1

National flag colors count of India?,3,0
National flag colors count of India?,4,1

First President of India?,RajendraPrasad,0
First President of India?,Nehru,1

Largest state by area?,Rajasthan,0
Largest state by area?,Bihar,1

Smallest state by area in India?,Goa,0
Smallest state by area India?,Punjab,1

National river in India?,Ganga,0
National river in India?,Yamuna,1

National song of India?,VandeMataram,0
National song of India?,SaareJahanSeAccha,1

National emblem source of India?,Ashoka,0
National emblem source of India?,Mughal,1

Indian space agency of India?,ISRO,0
Indian space agency of India?,NASAIndia,1

Indian IT hub in India?,Bangalore,0
Indian IT hub in India?,Lucknow,1

Gateway of India location?,Mumbai,0
Gateway of India location?,Delhi,1

Taj Mahal city?,Agra,0
Taj Mahal city?,Jaipur,1

Indian parliament house?,Sansad,0
Indian parliament house?,RajBhavan,1

Official language union in India?,Hindi,0
Official language union in India?,SanskritOnly,1

Indian banking regulator in India?,RBI,0
Indian banking regulator in India?,SEBIOnly,1

Indian stock exchange?,NSE,0
Indian stock exchange?,IRS,1

National animal of India?,Tiger,0
National animal of India?,Elephant,1

National bird of India?,Peacock,0
National bird of India?,Crow,1

National flower of India?,Lotus,0
National flower of India?,Rose,1

Indian missile program?,Agni,0
Indian missile program?,Falcon,1

Indian tech institute?,IIT,0
Indian tech institute?,MITIndia,1

Indian festival of lights?,Diwali,0
Indian festival of lights?,HoliWinter,1

Indian classical dance?,Bharatanatyam,0
Indian classical dance?,KathakaliModern,1

Indian independence year?,1947,0
Indian independence year?,1952,1

Longest river India?,Ganga,0
Longest river India?,Godavari,1

Indian census interval?,10,0
Indian census interval?,5,1

Indian emergency year?,1975,0
Indian emergency year?,1965,1

Indian supreme court location?,Delhi,0
Indian supreme court location?,Mumbai,1

Indian missile defense?,Akash,0
Indian missile defense?,PatriotIndia,1

Indian economic reform year?,1991,0
Indian economic reform year?,2001,1

Indian Nobel laureate literature?,Tagore,0
Indian Nobel laureate literature?,Premchand,1

Indian metro first city?,Kolkata,0
Indian metro first city?,Delhi,1

Indian highest civilian award?,BharatRatna,0
Indian highest civilian award?,PadmaShriTop,1

Indian railway minister first?,Shanmukham,0
Indian railway minister first?,Patel,1

Indian Mars mission?,Mangalyaan,0
Indian Mars mission?,ChandrayaanMars,1

Indian constitution architect?,Ambedkar,0
Indian constitution architect?,GandhiLaw,1

Indian planning body old?,PlanningCommission,0
Indian planning body old?,FinanceBoard,1

Indian GST year?,2017,0
Indian GST year?,2015,1
